generation,num_individuals,maxm2
1,100,0
11,100,0.1
21,106,0.1
31,101,0.1
41,108,0.1
51,109,0.1
61,119,0.1
71,115,0.1
81,113,0.1
91,115,0.1
101,136,0.1
111,156,0.1
121,189,0.1
131,207,0.1
141,231,0.1
151,240,0.2
161,246,0.2
171,240,0.2
181,267,0.2
191,290,0.2
201,339,0.2
211,371,0.2
221,389,0.2
231,420,0.2
241,461,0.2
251,514,0.2
261,579,0.3
271,614,0.3
281,658,0.3
291,738,0.3
301,782,0.3
311,876,0.3
321,963,0.3
331,1018,0.3
341,1088,0.3
351,1158,0.3
361,1226,0.3
371,1283,0.3
381,1400,0.3
391,1506,0.3
401,1640,0.3
411,1741,0.3
421,1880,0.4
431,2048,0.4
441,2176,0.4
451,2267,0.4
461,2375,0.4
471,2510,0.4
481,2653,0.4
491,2828,0.4
501,3017,0.4
511,3249,0.4
521,3511,0.5
531,3861,0.5
541,4121,0.5
551,4405,0.5
561,4735,0.5
571,5081,0.5
581,5381,0.5
591,5599,0.5
601,5959,0.5
611,6303,0.5
621,6586,0.5
631,6952,0.5
641,7290,0.5
651,7580,0.5
661,7770,0.5
671,8133,0.5
681,8463,0.5
691,8843,0.5
701,9222,0.5
711,9531,0.5
721,9822,0.6
731,10206,0.6
741,10632,0.6
751,10925,0.6
761,11178,0.6
771,11493,0.6
781,11797,0.6
791,12209,0.7
801,12447,0.7
811,12720,0.6
821,12948,0.6
831,13138,0.6
841,13312,0.6
851,13636,0.6
861,13767,0.6
871,14164,0.6
881,14299,0.6
891,14586,0.6
901,14670,0.6
911,14834,0.6
921,14996,0.6
931,15288,0.6
941,15427,0.6
951,15530,0.6
961,15533,0.6
971,15626,0.6
981,15758,0.6
991,15857,0.6
1001,15902,0.6
1011,16044,0.6
1021,16004,0.6
1031,16097,0.6
1041,16172,0.6
1051,16330,0.6
1061,16371,0.6
1071,16407,0.6
1081,16493,0.6
1091,16498,0.6
1101,16555,0.6
1111,16499,0.6
1121,16342,0.6
1131,16538,0.6
1141,16721,0.6
1151,16874,0.6
1161,17004,0.6
1171,16946,0.6
1181,16986,0.6
1191,16948,0.6
1201,16952,0.6
1211,16975,0.6
1221,17003,0.6
1231,17038,0.6
1241,17170,0.6
1251,17046,0.6
1261,17036,0.6
1271,17099,0.7
1281,17027,0.7
1291,17200,0.7
1301,17213,0.7
1311,17158,0.7
1321,17175,0.7
1331,17217,0.7
1341,17284,0.7
1351,17286,0.7
1361,17387,0.7
1371,17268,0.7
1381,17411,0.7
1391,17386,0.7
1401,17309,0.7
1411,17345,0.7
1421,17324,0.7
1431,17182,0.7
1441,17164,0.7
1451,17150,0.7
1461,17061,0.7
1471,17199,0.7
1481,17083,0.7
1491,17090,0.7
1501,16989,0.7
1511,17178,0.7
1521,17205,0.7
1531,17217,0.7
1541,17234,0.7
1551,17308,0.7
1561,17316,0.7
1571,17354,0.7
1581,17258,0.7
1591,17293,0.7
1601,17309,0.7
1611,17354,0.7
1621,17402,0.7
1631,17414,0.7
1641,17461,0.8
1651,17377,0.7
1661,17326,0.7
1671,17272,0.7
1681,17317,0.7
1691,17516,0.7
1701,17488,0.9
1711,17445,0.9
1721,17452,0.9
1731,17617,0.9
1741,17611,0.9
1751,17707,0.9
1761,17815,0.9
1771,17708,0.9
1781,17649,0.9
1791,17580,0.9
1801,17531,0.9
1811,17569,0.9
1821,17575,0.9
1831,17411,0.9
1841,17361,0.9
1851,17348,0.9
1861,17281,0.9
1871,17321,0.9
1881,17514,0.9
1891,17498,0.9
1901,17401,0.9
1911,17436,1
1921,17592,1
1931,17541,1
1941,17570,1
1951,17465,1
1961,17485,1
1971,17604,1
1981,17598,1
1991,17484,1
2001,17497,1
2011,17521,1
2021,17444,1
2031,17458,0.9
2041,17423,0.9
2051,17451,0.9
2061,17372,0.9
2071,17466,0.9
2081,17483,0.9
2091,17397,0.9
2101,17470,0.9
2111,17472,0.9
2121,17567,0.9
2131,17398,0.9
2141,17454,0.9
2151,17563,0.9
2161,17672,0.9
2171,17596,0.9
2181,17695,0.7
2191,17634,0.7
2201,17578,0.7
2211,17636,0.7
2221,17699,0.7
2231,17625,0.7
2241,17715,0.7
2251,17695,0.7
2261,17808,0.7
2271,17744,0.7
2281,17804,0.8
2291,17729,0.8
2301,17674,0.8
2311,17648,0.8
2321,17593,0.8
2331,17584,0.8
2341,17533,0.8
2351,17506,0.8
2361,17618,0.7
2371,17555,0.7
2381,17545,0.7
2391,17499,0.7
2401,17540,0.7
2411,17554,0.7
2421,17648,0.7
2431,17673,0.7
2441,17471,0.7
2451,17523,0.7
2461,17644,0.7
2471,17488,0.7
2481,17606,0.7
2491,17544,0.7
2501,17582,0.7
2511,17441,0.8
2521,17355,0.8
2531,17189,0.8
2541,17067,0.8
2551,17072,0.8
2561,17097,0.8
2571,17126,0.8
2581,17227,0.8
2591,17386,0.8
2601,17427,0.8
2611,17450,0.9
2621,17550,0.9
2631,17451,0.9
2641,17418,0.9
2651,17483,0.9
2661,17526,0.9
2671,17508,0.9
2681,17414,0.9
2691,17389,0.9
2701,17455,0.9
2711,17500,0.9
2721,17419,0.9
2731,17435,0.9
2741,17398,0.9
2751,17486,0.9
2761,17534,0.9
2771,17478,0.9
2781,17546,0.9
2791,17428,0.9
2801,17364,0.9
2811,17295,0.9
2821,17355,0.9
2831,17446,0.9
2841,17394,0.9
2851,17450,0.9
2861,17670,0.9
2871,17637,0.9
2881,17640,0.9
2891,17589,0.9
2901,17496,0.9
2911,17469,0.9
2921,17385,0.9
2931,17455,0.9
2941,17539,0.9
2951,17666,0.9
2961,17627,0.9
2971,17636,0.9
2981,17718,0.9
2991,17602,0.9
3001,17568,0.9
3011,17643,0.9
3021,17532,0.9
3031,17337,0.9
3041,17414,0.9
3051,17428,0.9
3061,17345,0.9
3071,17376,0.9
3081,17425,0.9
3091,17543,0.9
3101,17487,0.9
3111,17441,0.9
3121,17524,0.9
3131,17415,0.9
3141,17367,0.9
3151,17297,0.9
3161,17467,0.9
3171,17602,0.9
3181,17480,0.9
3191,17430,0.9
3201,17395,0.9
3211,17295,0.9
3221,17263,0.9
3231,17255,0.9
3241,17253,0.9
3251,17245,0.9
3261,17136,0.9
3271,17038,0.9
3281,16997,0.9
3291,16974,0.9
3301,16994,0.9
3311,16947,0.9
3321,16887,0.9
3331,16995,0.9
3341,16951,0.9
3351,16932,0.9
3361,17027,0.9
3371,16940,0.9
3381,17046,0.9
3391,17104,0.9
3401,17011,0.9
3411,16892,1
3421,16940,1
3431,16899,1
3441,16870,1
3451,16789,1
3461,16786,1
3471,16725,1
3481,16755,1
3491,16771,1
3501,16918,1
3511,16920,1
3521,16970,0.9
3531,17016,0.9
3541,16972,0.9
3551,16799,0.9
3561,16754,0.9
3571,16647,0.9
3581,16728,0.9
3591,16552,0.9
3601,16793,0.9
3611,16834,0.9
3621,16768,0.9
3631,16899,0.9
3641,17061,0.9
3651,17254,0.9
3661,17309,0.9
3671,17221,0.9
3681,17057,0.9
3691,17090,0.9
3701,17217,0.9
3711,17253,0.9
3721,17206,0.9
3731,17216,0.9
3741,17180,0.9
3751,17206,0.9
3761,17165,0.9
3771,17196,0.9
3781,17222,0.9
3791,17301,0.8
3801,17332,0.8
3811,17176,0.8
3821,17140,0.9
3831,17168,0.9
3841,17102,0.9
3851,17050,0.9
3861,17109,0.9
3871,17086,0.9
3881,17052,0.8
3891,16949,0.9
3901,16855,0.9
3911,16855,0.9
3921,16887,0.9
3931,16982,0.9
3941,16913,0.9
3951,16868,0.9
3961,17040,0.9
3971,17002,0.9
3981,16937,0.9
3991,16806,0.9
4001,16908,0.9
4011,17027,0.9
4021,17057,0.9
4031,17024,0.9
4041,17205,0.9
4051,17191,0.9
4061,17213,0.9
4071,17262,0.9
4081,17287,1
4091,17189,1
4101,17251,1
4111,17416,1
4121,17380,1
4131,17399,1
4141,17280,1
4151,17299,1
4161,17165,1
4171,17230,1
4181,17298,1
4191,17457,1
4201,17485,1
4211,17685,1
4221,17772,1
4231,17685,1
4241,17517,1
4251,17644,1
4261,17557,1
4271,17602,1
4281,17537,1
4291,17576,1
4301,17564,1
4311,17618,1
4321,17487,1
4331,17564,1
4341,17569,1
4351,17492,1
4361,17583,1
4371,17561,1.1
4381,17615,1.1
4391,17519,1.1
4401,17398,1
4411,17386,1
4421,17531,1
4431,17585,1
4441,17500,1
4451,17562,1
4461,17578,1
4471,17645,1
4481,17474,1
4491,17445,1
4501,17430,1
4511,17488,1
4521,17604,1
4531,17568,1.1
4541,17643,1.1
4551,17598,1.1
4561,17544,1.1
4571,17579,1.1
4581,17628,1.1
4591,17702,1.1
4601,17700,1.1
4611,17703,1.1
4621,17746,1.1
4631,17690,1.1
4641,17594,1.1
4651,17610,1.1
4661,17524,1
4671,17506,1
4681,17512,1
4691,17554,1
4701,17534,1
4711,17748,1
4721,17722,1
4731,17776,1
4741,17712,1
4751,17595,1
4761,17601,1
4771,17459,1
4781,17494,1
4791,17584,1
4801,17615,1
4811,17578,0.9
4821,17528,0.9
4831,17551,0.9
4841,17611,0.9
4851,17560,0.9
4861,17638,0.9
4871,17763,0.9
4881,17693,1
4891,17654,1
4901,17676,1
4911,17699,1
4921,17606,1
4931,17487,1
4941,17405,1
4951,17364,1
4961,17370,1.1
4971,17224,1
4981,17134,1
4991,17202,1
5001,17112,1
5011,17022,1
5021,17160,1
5031,17253,1
5041,17156,1
5051,17080,1
5061,17071,1.1
5071,17161,1
5081,17121,1
5091,17186,1
5101,17167,1
5111,17232,1
5121,17209,1
5131,17233,1
5141,17187,1
5151,17291,1
5161,17058,1
5171,17231,1
5181,17302,1
5191,17288,1
5201,17327,1
5211,17240,1
5221,17311,1
5231,17433,1
5241,17421,1
5251,17427,1
5261,17471,1
5271,17465,1
5281,17444,1
5291,17474,1
5301,17372,1
5311,17470,1
5321,17554,1
5331,17583,1
5341,17588,1
5351,17560,1
5361,17503,1
5371,17592,1
5381,17570,1
5391,17627,1
5401,17521,1
5411,17434,1
5421,17416,1
5431,17493,1
5441,17469,1
5451,17458,1
5461,17348,1
5471,17423,1.1
5481,17500,1.1
5491,17525,1.1
5501,17586,1.1
5511,17501,1.1
5521,17419,1.1
5531,17410,1.1
5541,17315,1.1
5551,17230,1.1
5561,17335,1.1
5571,17308,1.1
5581,17149,1.1
5591,17102,1.1
5601,17081,1.1
5611,17120,1.1
5621,17146,1.1
5631,17038,1.1
5641,16842,1.1
5651,16904,1.1
5661,16920,1.1
5671,17033,1.1
5681,17165,1.1
5691,16997,1.1
5701,17013,1.1
5711,16948,1.1
5721,16876,1.1
5731,16927,1.1
5741,16992,1.1
5751,17057,1.1
5761,17095,1.1
5771,17189,1.1
5781,17282,1.1
5791,17202,1.1
5801,17148,1.1
5811,17040,1.1
5821,17041,1.1
5831,17022,1.1
5841,17101,1.1
5851,17193,1.1
5861,17138,1.1
5871,17188,1.1
5881,17113,1.1
5891,17124,1.1
5901,17152,1.1
5911,17256,1.1
5921,17303,1.1
5931,17465,1.1
5941,17494,1.1
5951,17521,1.1
5961,17653,1.1
5971,17707,1.1
5981,17591,1.1
5991,17610,1.1
6001,17693,1.1
6011,17628,1.1
6021,17708,1.1
6031,17791,1.1
6041,17797,1.1
6051,17906,1.1
6061,17825,1.1
6071,17821,1.1
6081,17900,1.1
6091,17997,1.1
6101,17994,1.1
6111,18054,1.1
6121,17921,1.1
6131,17892,1.1
6141,17737,1.1
6151,17742,1.1
6161,17781,1.1
6171,17751,1.1
6181,17558,1.1
6191,17463,1.1
6201,17473,1.1
6211,17450,1.1
6221,17476,1.1
6231,17527,1.1
6241,17642,1.1
6251,17603,1.1
6261,17643,1.1
6271,17669,1.1
6281,17601,1.1
6291,17705,1.1
6301,17653,1.1
6311,17530,1.1
6321,17561,1.1
6331,17742,1.1
6341,17677,1.1
6351,17639,1.1
6361,17663,1.1
6371,17480,1.1
6381,17556,1.1
6391,17607,1
6401,17556,1
6411,17641,1
6421,17648,1.1
6431,17727,1.1
6441,17629,1
6451,17666,1
6461,17530,1
6471,17495,1
6481,17547,1
6491,17407,1
6501,17491,1
6511,17609,1
6521,17610,1
6531,17653,1
6541,17634,1
6551,17483,1
6561,17470,1
6571,17477,1
6581,17437,1
6591,17510,1
6601,17714,1
6611,17607,1
6621,17658,1
6631,17756,1
6641,17749,1
6651,17865,1
6661,17735,1
6671,17664,1
6681,17629,1
6691,17763,1
6701,17800,1
6711,17736,1
6721,17769,1
6731,17715,1
6741,17697,1
6751,17801,1
6761,17764,1
6771,17736,1.1
6781,17771,1.2
6791,17668,1.2
6801,17688,1.2
6811,17705,1.2
6821,17666,1.2
6831,17604,1.2
6841,17608,1.2
6851,17483,1.2
6861,17470,1.2
6871,17528,1.2
6881,17529,1.2
6891,17528,1.2
6901,17402,1.2
6911,17389,1.2
6921,17560,1.2
6931,17508,1.2
6941,17545,1.2
6951,17555,1.2
6961,17544,1.2
6971,17548,1.2
6981,17535,1.2
6991,17371,1.2
7001,17525,1.2
7011,17548,1.2
7021,17557,1.2
7031,17619,1.2
7041,17588,1.2
7051,17642,1.2
7061,17744,1.2
7071,17654,1.2
7081,17462,1.2
7091,17495,1.2
7101,17436,1.2
7111,17564,1.2
7121,17573,1.2
7131,17596,1.2
7141,17571,1.2
7151,17648,1.2
7161,17617,1.1
7171,17602,1.1
7181,17692,1.1
7191,17704,1.1
7201,17666,1.1
7211,17640,1.1
7221,17663,1.1
7231,17879,1.2
7241,17880,1.2
7251,17736,1.1
7261,17836,1.1
7271,17832,1.1
7281,17967,1.1
7291,17866,1.1
7301,17678,1.1
7311,17642,1.1
7321,17596,1.1
7331,17500,1.1
7341,17378,1.1
7351,17398,1.1
7361,17368,1.1
7371,17401,1.1
7381,17174,1.1
7391,17088,1.1
7401,17026,1.1
7411,16955,1.1
7421,16732,1.1
7431,16727,1.1
7441,16867,1.1
7451,16919,1.1
7461,17073,1.1
7471,17091,1.1
7481,17029,1.1
7491,17089,1.1
7501,17071,1.1
7511,17035,1.1
7521,17018,1.1
7531,17016,1.1
7541,17111,1.1
7551,17021,1.1
7561,17039,1.2
7571,16958,1.2
7581,17171,1.2
7591,17092,1.2
7601,17154,1.2
7611,17169,1.2
7621,17186,1.2
7631,17296,1.2
7641,17370,1.2
7651,17336,1.2
7661,17463,1.2
7671,17472,1.2
7681,17451,1.2
7691,17407,1.2
7701,17402,1.2
7711,17361,1.2
7721,17347,1.2
7731,17399,1.2
7741,17609,1.2
7751,17721,1.2
7761,17724,1.2
7771,17708,1.2
7781,17747,1.2
7791,17695,1.2
7801,17804,1.2
7811,17729,1.2
7821,17868,1.2
