generation,num_individuals,maxm2
1,100,0
11,105,0
21,115,0.1
31,109,0.1
41,119,0.1
51,134,0.1
61,149,0.1
71,161,0.1
81,159,0.1
91,170,0.1
101,195,0.1
111,196,0.1
121,194,0.1
131,199,0.1
141,226,0.2
151,232,0.2
161,263,0.2
171,288,0.2
181,299,0.2
191,321,0.2
201,342,0.2
211,367,0.2
221,377,0.2
231,408,0.2
241,421,0.3
251,435,0.3
261,477,0.3
271,522,0.3
281,571,0.3
291,610,0.3
301,663,0.3
311,735,0.3
321,847,0.3
331,944,0.3
341,1027,0.4
351,1100,0.4
361,1141,0.4
371,1255,0.4
381,1355,0.4
391,1463,0.4
401,1587,0.4
411,1727,0.4
421,1835,0.4
431,2004,0.4
441,2145,0.4
451,2286,0.4
461,2403,0.4
471,2579,0.4
481,2735,0.4
491,2969,0.4
501,3153,0.4
511,3312,0.5
521,3511,0.5
531,3789,0.5
541,4020,0.5
551,4238,0.5
561,4495,0.5
571,4778,0.6
581,5002,0.6
591,5379,0.6
601,5654,0.6
611,5950,0.6
621,6253,0.6
631,6604,0.6
641,6914,0.6
651,7208,0.6
661,7545,0.6
671,7920,0.6
681,8332,0.6
691,8597,0.6
701,8808,0.6
711,9064,0.6
721,9416,0.6
731,9815,0.6
741,10105,0.6
751,10469,0.6
761,10705,0.6
771,11074,0.6
781,11391,0.5
791,11548,0.5
801,11846,0.5
811,12089,0.5
821,12500,0.5
831,12626,0.5
841,12966,0.5
851,13274,0.5
861,13410,0.6
871,13449,0.6
881,13776,0.6
891,14035,0.6
901,14234,0.6
911,14392,0.6
921,14525,0.6
931,14671,0.6
941,14934,0.6
951,15009,0.6
961,15033,0.6
971,15152,0.6
981,15394,0.6
991,15401,0.6
1001,15512,0.6
1011,15677,0.6
1021,15885,0.6
1031,16098,0.6
1041,16255,0.6
1051,16300,0.6
1061,16383,0.6
1071,16436,0.6
1081,16614,0.6
1091,16728,0.7
1101,16696,0.7
1111,16706,0.7
1121,16621,0.7
1131,16745,0.7
1141,16783,0.7
1151,16826,0.7
1161,16755,0.7
1171,16865,0.7
1181,16878,0.7
1191,16943,0.7
1201,16954,0.7
1211,17070,0.7
1221,17241,0.7
1231,17458,0.6
1241,17632,0.6
1251,17644,0.6
1261,17620,0.6
1271,17714,0.6
1281,17530,0.6
1291,17550,0.6
1301,17498,0.6
1311,17510,0.6
1321,17543,0.6
1331,17487,0.6
1341,17469,0.6
1351,17437,0.6
1361,17476,0.6
1371,17554,0.6
1381,17692,0.6
1391,17707,0.6
1401,17750,0.6
1411,17761,0.6
1421,17668,0.6
1431,17506,0.6
1441,17461,0.6
1451,17438,0.6
1461,17226,0.6
1471,17225,0.6
1481,17190,0.6
1491,17157,0.6
1501,17172,0.6
1511,17313,0.6
1521,17250,0.6
1531,17238,0.7
1541,17258,0.7
1551,17328,0.7
1561,17266,0.7
1571,17259,0.7
1581,17509,0.7
1591,17466,0.7
1601,17376,0.7
1611,17503,0.7
1621,17495,0.7
1631,17429,0.7
1641,17400,0.7
1651,17379,0.7
1661,17270,0.7
1671,17224,0.7
1681,17134,0.7
1691,17134,0.7
1701,17274,0.7
1711,17324,0.7
1721,17421,0.7
1731,17432,0.7
1741,17400,0.7
1751,17451,0.7
1761,17417,0.7
1771,17428,0.7
1781,17404,0.7
1791,17317,0.7
1801,17191,0.7
1811,17219,0.7
1821,17276,0.7
1831,17279,0.7
1841,17111,0.7
1851,17118,0.7
1861,17292,0.7
1871,17333,0.7
1881,17280,0.8
1891,17428,0.8
1901,17333,0.8
1911,17399,0.8
1921,17444,0.8
1931,17483,0.8
1941,17557,0.8
1951,17465,0.8
1961,17421,0.8
1971,17482,0.8
1981,17440,0.8
1991,17455,0.8
2001,17494,0.8
2011,17452,0.8
2021,17463,0.8
