generation,num_individuals,maxm2
1,100,0
11,107,0.1
21,126,0.1
31,145,0.2
41,157,0.1
51,169,0.1
61,194,0.1
71,219,0.1
81,247,0.1
91,266,0.1
101,293,0.2
111,320,0.2
121,354,0.2
131,382,0.2
141,426,0.2
151,504,0.2
161,560,0.2
171,591,0.2
181,634,0.2
191,679,0.2
201,740,0.2
211,821,0.2
221,868,0.2
231,932,0.2
241,1047,0.2
251,1164,0.2
261,1258,0.2
271,1330,0.2
281,1458,0.2
291,1579,0.2
301,1670,0.2
311,1788,0.3
321,1877,0.3
331,1971,0.3
341,2131,0.3
351,2282,0.3
361,2420,0.3
371,2600,0.3
381,2790,0.3
391,3038,0.3
401,3244,0.3
411,3435,0.3
421,3602,0.3
431,3874,0.3
441,4140,0.3
451,4428,0.3
461,4665,0.3
471,4913,0.4
481,5229,0.4
491,5507,0.4
501,5878,0.4
511,6189,0.4
521,6505,0.4
531,6980,0.4
541,7222,0.4
551,7639,0.4
561,7889,0.4
571,8200,0.4
581,8550,0.5
591,8868,0.5
601,9164,0.4
611,9432,0.4
621,9802,0.4
631,10173,0.4
641,10425,0.4
651,10710,0.4
661,11078,0.4
671,11361,0.4
681,11658,0.4
691,11899,0.4
701,12149,0.4
711,12497,0.4
721,12710,0.4
731,13039,0.4
741,13218,0.4
751,13425,0.4
761,13650,0.4
771,13733,0.5
781,13738,0.5
791,13912,0.5
801,14175,0.4
811,14434,0.4
821,14618,0.5
831,14783,0.5
841,14926,0.5
851,15147,0.5
861,15314,0.5
871,15427,0.4
881,15551,0.4
891,15707,0.5
901,15865,0.5
911,15916,0.5
921,15951,0.5
931,16040,0.5
941,16273,0.5
951,16398,0.5
961,16566,0.5
971,16544,0.5
981,16657,0.5
991,16802,0.5
1001,16851,0.5
1011,16898,0.5
1021,16868,0.5
1031,16967,0.5
1041,16954,0.5
1051,17009,0.5
1061,17135,0.5
1071,17234,0.5
1081,17244,0.5
1091,17205,0.5
1101,17436,0.5
1111,17559,0.5
1121,17641,0.5
1131,17701,0.5
1141,17744,0.5
1151,17650,0.5
1161,17606,0.5
1171,17589,0.5
1181,17559,0.6
1191,17580,0.5
1201,17561,0.6
1211,17505,0.6
1221,17712,0.6
1231,17606,0.6
1241,17798,0.6
1251,17673,0.6
1261,17693,0.6
1271,17706,0.6
1281,17629,0.6
1291,17763,0.6
1301,17719,0.6
1311,17750,0.6
1321,17773,0.6
1331,17802,0.6
1341,17843,0.6
1351,17871,0.6
1361,17975,0.6
1371,17989,0.6
1381,17962,0.6
1391,18069,0.6
1401,18132,0.6
1411,17935,0.6
1421,17940,0.6
1431,17791,0.6
1441,17652,0.6
1451,17726,0.6
1461,17817,0.6
1471,17721,0.6
1481,17602,0.6
1491,17561,0.6
1501,17590,0.6
1511,17578,0.6
1521,17625,0.6
1531,17672,0.6
1541,17708,0.6
1551,17714,0.6
1561,17720,0.6
1571,17606,0.6
1581,17663,0.6
1591,17654,0.6
1601,17647,0.6
1611,17541,0.6
1621,17519,0.7
1631,17621,0.7
1641,17671,0.6
1651,17714,0.6
1661,17722,0.7
1671,17724,0.7
1681,17660,0.7
1691,17571,0.7
1701,17641,0.7
1711,17539,0.7
1721,17473,0.7
1731,17484,0.7
1741,17580,0.7
1751,17449,0.7
1761,17330,0.7
1771,17363,0.7
1781,17414,0.7
1791,17369,0.7
1801,17524,0.7
1811,17506,0.7
1821,17465,0.7
1831,17513,0.7
1841,17649,0.7
1851,17705,0.7
1861,17817,0.6
1871,17854,0.6
1881,17788,0.7
1891,17830,0.7
1901,17750,0.7
1911,17597,0.7
1921,17600,0.7
1931,17666,0.7
1941,17676,0.7
1951,17643,0.8
1961,17703,0.8
1971,17709,0.8
1981,17746,0.8
1991,17786,0.8
2001,17817,0.8
2011,17778,0.8
2021,17748,0.8
2031,17732,0.8
2041,17816,0.8
2051,17814,0.8
2061,17873,0.8
2071,17791,0.8
2081,17713,0.8
2091,17712,0.8
2101,17722,0.8
2111,17557,0.8
2121,17475,0.8
2131,17558,0.8
2141,17442,0.8
2151,17518,0.8
2161,17490,0.8
2171,17498,0.8
2181,17690,0.8
2191,17786,0.8
2201,17751,0.8
2211,17770,0.8
2221,17700,0.8
2231,17596,0.8
2241,17690,0.8
2251,17688,0.8
2261,17693,0.8
2271,17759,0.8
2281,17585,0.8
2291,17565,0.8
2301,17565,0.8
2311,17579,0.8
2321,17617,0.8
2331,17548,0.8
2341,17632,0.8
2351,17504,0.8
2361,17524,0.8
2371,17482,0.8
2381,17535,0.8
2391,17533,0.8
2401,17488,0.8
2411,17554,0.8
2421,17485,0.8
2431,17626,0.8
2441,17584,0.8
2451,17729,0.8
2461,17717,0.8
2471,17663,0.8
2481,17831,0.8
2491,17931,0.8
2501,17988,0.7
2511,18048,0.7
2521,17868,0.7
2531,17794,0.7
2541,17884,0.7
2551,17782,0.7
2561,17814,0.7
2571,17618,0.7
2581,17547,0.7
2591,17516,0.7
2601,17527,0.7
2611,17489,0.7
2621,17522,0.7
2631,17523,0.7
2641,17503,0.8
2651,17519,0.8
2661,17565,0.8
2671,17549,0.8
2681,17607,0.8
2691,17651,0.8
2701,17686,0.8
2711,17707,0.8
2721,17521,0.8
2731,17567,0.8
2741,17551,0.8
2751,17572,0.8
2761,17558,0.8
2771,17613,0.8
2781,17605,0.8
2791,17705,0.8
2801,17723,0.8
2811,17646,0.8
2821,17601,0.8
2831,17660,0.8
2841,17602,0.8
2851,17622,0.7
2861,17586,0.7
2871,17462,0.7
2881,17500,0.7
2891,17435,0.7
2901,17512,0.7
2911,17548,0.7
2921,17529,0.7
2931,17513,0.7
2941,17646,0.7
2951,17585,0.7
2961,17586,0.7
2971,17719,0.8
2981,17629,0.8
2991,17640,0.7
3001,17644,0.7
3011,17557,0.8
3021,17566,0.8
3031,17493,0.8
3041,17511,0.8
3051,17458,0.7
3061,17449,0.7
3071,17486,0.7
3081,17458,0.7
3091,17607,0.7
3101,17532,0.7
3111,17666,0.7
3121,17639,0.7
3131,17609,0.7
3141,17614,0.7
3151,17485,0.7
3161,17535,0.8
3171,17512,0.8
3181,17588,0.8
3191,17467,0.8
3201,17447,0.8
3211,17545,0.8
3221,17617,0.7
3231,17592,0.7
3241,17605,0.7
3251,17614,0.7
3261,17645,0.7
3271,17635,0.7
3281,17590,0.7
3291,17467,0.7
3301,17577,0.7
3311,17488,0.7
3321,17535,0.7
3331,17560,0.7
3341,17506,0.7
3351,17406,0.7
3361,17336,0.8
3371,17403,0.8
3381,17350,0.8
3391,17482,0.8
3401,17563,0.8
3411,17548,0.8
3421,17455,0.8
3431,17481,0.8
3441,17376,0.8
3451,17330,0.8
3461,17503,0.8
3471,17408,0.8
3481,17473,0.8
3491,17453,0.9
3501,17442,0.9
3511,17540,0.9
3521,17606,0.9
3531,17692,0.9
3541,17694,0.9
3551,17709,0.9
3561,17556,0.9
3571,17710,0.9
3581,17823,0.9
3591,17748,0.8
3601,17795,0.8
3611,17749,0.8
3621,17897,0.8
3631,17953,0.8
3641,17855,0.8
3651,17937,0.8
3661,17971,0.8
3671,17979,0.8
3681,17928,0.8
3691,17983,0.8
3701,17862,0.9
3711,17756,0.9
3721,17838,0.8
3731,17821,0.8
3741,17754,0.8
3751,17728,0.8
3761,17708,0.8
3771,17709,0.8
3781,17645,0.9
3791,17666,0.9
3801,17793,0.9
3811,17782,0.9
3821,17879,0.9
3831,17893,0.9
3841,17974,0.9
3851,17796,0.9
3861,17618,0.8
3871,17491,0.9
3881,17612,0.9
3891,17724,0.9
3901,17706,0.9
3911,17734,0.9
3921,17850,0.9
3931,17846,0.9
3941,17716,0.9
3951,17709,0.9
3961,17750,0.9
3971,17774,0.9
3981,17663,0.9
3991,17619,0.9
4001,17588,0.9
4011,17601,0.9
4021,17778,0.9
4031,17923,0.9
4041,17824,0.9
4051,17798,0.9
4061,17826,0.9
4071,17687,0.9
4081,17636,0.9
4091,17622,0.9
4101,17487,0.9
4111,17463,0.9
4121,17476,0.9
4131,17414,0.9
4141,17420,0.9
4151,17210,0.9
4161,17297,0.9
4171,17367,0.9
4181,17375,1
4191,17367,1
4201,17371,1
4211,17396,0.9
4221,17368,0.9
4231,17560,0.9
4241,17632,0.9
4251,17601,0.9
4261,17615,0.9
4271,17497,0.9
4281,17640,0.9
4291,17592,0.9
4301,17498,0.9
4311,17413,0.9
4321,17402,0.9
4331,17326,0.9
4341,17436,0.9
4351,17430,0.9
4361,17445,0.9
4371,17444,0.9
4381,17472,1
4391,17529,0.9
4401,17466,0.9
4411,17622,0.9
4421,17653,0.9
4431,17623,0.9
4441,17632,0.9
4451,17518,0.9
4461,17574,0.9
4471,17485,0.9
4481,17477,0.9
4491,17479,0.9
4501,17428,0.9
4511,17370,0.8
4521,17333,0.8
4531,17344,0.8
4541,17528,0.8
4551,17446,0.8
4561,17427,0.8
4571,17544,0.8
4581,17494,0.8
4591,17450,0.9
4601,17381,0.9
4611,17442,0.9
4621,17351,0.9
4631,17463,0.9
4641,17420,0.9
4651,17523,0.9
4661,17482,1
4671,17440,0.9
4681,17527,0.9
4691,17419,0.9
4701,17373,0.9
4711,17443,0.9
4721,17551,0.9
4731,17592,0.9
4741,17659,0.9
4751,17658,0.9
4761,17617,0.9
4771,17735,0.9
4781,17656,0.9
4791,17617,0.9
4801,17583,0.9
4811,17519,1
4821,17444,1
4831,17399,1
4841,17328,0.9
4851,17381,0.9
4861,17393,0.9
4871,17446,0.9
4881,17283,0.9
4891,17416,0.9
4901,17509,0.9
4911,17421,0.9
4921,17362,0.9
4931,17402,0.9
4941,17394,0.9
4951,17405,0.9
4961,17331,0.9
4971,17384,0.9
4981,17342,0.9
4991,17395,0.9
5001,17455,0.9
5011,17523,0.9
5021,17646,0.9
5031,17644,0.9
5041,17615,0.9
5051,17495,0.9
5061,17556,0.9
5071,17433,0.8
5081,17441,0.8
5091,17547,0.8
5101,17575,0.8
5111,17642,0.8
5121,17725,0.9
5131,17899,0.9
5141,17901,0.9
5151,17919,0.9
5161,17965,0.9
5171,18044,0.9
5181,18059,0.9
5191,18116,0.9
5201,18216,0.9
5211,18199,0.9
5221,18087,0.9
5231,17910,0.8
5241,18074,0.9
5251,18011,0.9
5261,17985,0.9
5271,17846,0.9
5281,17815,0.9
5291,17765,0.9
5301,17803,0.9
5311,17738,0.9
5321,17843,0.9
5331,17837,0.9
5341,17806,0.9
5351,17795,0.9
5361,17811,0.9
5371,17941,0.9
5381,18024,0.9
5391,18042,0.9
5401,17982,0.9
5411,17891,0.8
5421,17985,0.8
5431,17898,0.8
5441,17896,0.9
5451,17840,0.9
5461,17796,0.9
5471,17720,0.9
5481,17664,0.9
5491,17599,0.9
5501,17474,0.9
5511,17537,0.9
5521,17540,0.8
5531,17611,0.9
5541,17474,0.9
5551,17446,0.9
5561,17295,0.9
5571,17428,0.9
5581,17362,0.9
5591,17576,0.9
5601,17553,0.9
5611,17695,0.9
5621,17758,0.9
5631,17593,0.9
5641,17564,0.9
5651,17381,0.9
5661,17362,0.9
5671,17408,0.9
5681,17337,0.9
5691,17221,0.9
5701,17312,0.9
5711,17309,0.9
5721,17309,0.9
5731,17425,0.9
5741,17475,0.9
5751,17566,0.9
5761,17673,0.9
5771,17671,0.9
5781,17522,1
5791,17521,1
5801,17511,1
5811,17501,1
5821,17429,1
5831,17341,1
5841,17383,1
5851,17385,1.1
5861,17334,1.1
5871,17469,1.1
5881,17685,1.1
5891,17817,1.1
5901,17727,1.1
5911,17703,1.1
5921,17683,1.1
5931,17637,1.1
5941,17481,1.1
5951,17439,1.1
5961,17478,1.1
5971,17523,1.1
5981,17476,1.1
5991,17513,1.1
6001,17578,1.1
6011,17556,1.1
6021,17435,1.1
6031,17420,1.1
6041,17423,1.1
6051,17356,1.1
6061,17380,1.1
6071,17382,1.1
6081,17352,1.1
6091,17423,1.1
6101,17513,1.1
6111,17550,1.1
6121,17559,1.1
6131,17475,1.1
6141,17453,1.1
6151,17255,1.1
6161,17278,1.1
6171,17290,1.1
6181,17364,1.1
6191,17421,1.1
6201,17430,1.1
6211,17398,1.2
6221,17628,1.2
6231,17453,1.2
6241,17564,1.2
6251,17609,1.2
6261,17633,1.2
6271,17669,1.2
6281,17678,1.2
6291,17535,1.2
6301,17577,1.2
6311,17440,1.2
6321,17437,1.2
6331,17385,1.2
6341,17383,1.2
6351,17368,1
6361,17396,1
6371,17260,1
6381,17232,1
6391,17283,1
6401,17365,1
6411,17224,1
6421,17367,1
6431,17405,1
6441,17481,1
6451,17603,1
6461,17653,1
6471,17674,1
6481,17513,1
6491,17430,1
6501,17362,1
6511,17349,1
6521,17439,1
6531,17524,1
6541,17534,1
6551,17659,1
6561,17572,1
6571,17671,1
6581,17651,1
6591,17750,1
6601,17739,1
6611,17809,1
6621,17674,1
6631,17789,1
6641,17856,1
6651,17730,1
6661,17679,1
6671,17667,1
6681,17825,1
6691,17814,1
6701,17829,1
6711,17723,1
6721,17690,1
6731,17722,1
6741,17578,1
6751,17612,1
6761,17683,1
6771,17685,1
6781,17818,1
6791,17718,1
6801,17792,1.1
6811,17914,1.1
6821,17927,1.1
6831,18037,1.1
6841,17939,1.1
6851,17882,1.1
6861,17888,1.1
6871,17853,1.1
6881,17871,1
6891,17814,1.1
6901,17687,1
6911,17547,1
6921,17603,1
6931,17667,1
6941,17657,1
6951,17658,1
6961,17718,1
6971,17635,1
6981,17705,1
6991,17692,1
7001,17783,1
7011,17594,1
7021,17599,1
7031,17525,1
7041,17693,1
7051,17677,1
7061,17699,1
7071,17671,1.1
7081,17676,1.1
7091,17727,1.1
7101,17866,1.1
7111,17836,1.1
7121,17891,1.1
7131,17843,1.1
7141,17936,1.1
7151,17930,1.1
7161,17845,1.1
7171,17789,1.1
7181,17735,1.1
7191,17738,1.1
7201,17729,1.1
7211,17666,1.1
7221,17736,1.1
7231,17826,1.1
7241,17865,1.1
7251,17805,1.1
7261,17871,1.1
7271,17999,1.1
7281,17962,1.1
7291,18011,1.1
7301,17872,1.1
7311,17803,1.1
7321,17884,1.1
7331,17895,1.1
7341,17980,1.1
7351,17860,1.1
7361,17980,1.1
7371,18012,1.1
7381,18019,1.1
7391,18088,1.1
7401,17814,1.1
7411,17824,1.1
7421,17845,1.1
7431,17942,1.1
7441,17869,1.1
7451,17986,1.1
7461,17871,1.1
7471,17788,1.1
7481,17990,1.1
7491,17943,1.1
7501,17829,1.1
7511,17784,1.1
7521,17758,1.1
7531,17733,1.2
7541,17750,1.2
7551,17811,1.2
7561,17930,1.2
7571,17769,1.2
7581,17826,1.2
7591,17741,1.2
7601,17669,1.2
7611,17635,1.2
7621,17596,1.2
7631,17703,1.2
7641,17752,1.2
7651,17766,1.2
7661,17686,1.2
7671,17888,1.2
7681,17800,1.2
7691,17689,1.2
7701,17605,1.2
7711,17578,1.1
7721,17683,1.1
7731,17641,1.1
7741,17566,1.2
7751,17579,1.2
7761,17384,1.2
7771,17248,1.2
7781,17431,1.2
7791,17360,1.2
7801,17370,1.2
7811,17412,1.2
7821,17199,1.2
7831,17361,1.2
7841,17403,1.2
7851,17608,1.2
7861,17599,1.2
7871,17803,1.2
7881,17613,1.2
7891,17591,1.2
7901,17617,1.2
7911,17540,1.2
7921,17659,1.2
7931,17664,1.2
7941,17656,1.2
7951,17679,1.2
7961,17607,1.2
7971,17649,1.2
7981,17708,1.2
7991,17837,1.2
8001,17563,1.2
8011,17656,1.2
8021,17605,1.2
8031,17647,1.2
8041,17568,1.2
8051,17670,1.2
8061,17627,1.2
8071,17712,1.2
8081,17724,1.2
8091,17729,1.2
8101,17749,1.1
8111,17716,1.1
8121,17638,1.1
8131,17682,1.1
8141,17762,1.1
8151,17777,1.1
8161,17884,1.1
8171,17917,1.1
8181,17824,1.1
8191,17782,1.1
8201,17745,1.1
8211,17774,1.1
8221,17777,1.1
8231,17795,1.1
8241,17911,1.1
8251,17995,1.1
8261,17876,1.2
8271,17806,1.2
8281,17795,1.2
8291,17713,1.2
8301,17758,1.2
8311,17737,1.2
8321,17654,1.2
8331,17658,1.2
8341,17778,1.2
8351,17674,1.2
8361,17668,1.2
8371,17493,1.2
8381,17509,1.2
8391,17611,1.2
8401,17666,1.2
8411,17687,1.2
8421,17681,1.2
8431,17538,1.2
8441,17410,1.2
8451,17409,1.2
8461,17361,1.1
8471,17283,1.1
8481,17350,1.1
8491,17372,1.1
8501,17198,1.1
8511,17174,1.1
8521,17214,1.1
8531,17132,1.2
8541,17154,1.2
8551,17208,1.2
8561,17222,1.2
8571,17334,1.2
8581,17319,1.2
8591,17412,1.2
8601,17374,1.2
8611,17554,1.2
8621,17500,1.2
8631,17529,1.2
8641,17524,1.2
8651,17567,1.2
8661,17587,1.2
8671,17503,1.2
8681,17429,1.2
8691,17615,1.2
8701,17662,1.2
8711,17653,1.2
8721,17587,1.2
8731,17499,1.2
8741,17507,1.2
8751,17528,1.2
8761,17544,1.2
8771,17490,1.2
8781,17583,1.2
8791,17590,1.2
8801,17515,1.2
8811,17498,1.2
8821,17606,1.3
8831,17612,1.3
8841,17672,1.3
8851,17701,1.3
8861,17791,1.3
8871,17667,1.3
8881,17577,1.3
8891,17648,1.2
8901,17569,1.2
8911,17602,1.2
8921,17551,1.2
8931,17610,1.2
8941,17717,1.2
8951,17642,1.2
8961,17550,1.2
8971,17526,1.2
8981,17497,1.2
8991,17547,1.2
9001,17535,1.2
9011,17686,1.2
9021,17633,1.2
9031,17761,1.2
9041,17870,1.2
9051,17866,1.2
9061,17818,1.2
9071,17832,1.2
9081,17876,1.2
9091,17945,1.2
9101,17836,1.2
9111,17807,1.2
9121,17768,1.2
9131,17663,1.2
9141,17609,1.2
9151,17556,1.2
9161,17531,1.2
9171,17603,1.2
9181,17629,1.2
9191,17657,1.2
9201,17483,1.2
9211,17646,1.2
9221,17629,1.2
9231,17640,1.2
9241,17671,1.2
9251,17598,1.2
9261,17560,1.2
9271,17587,1.2
9281,17683,1.2
9291,17651,1.3
9301,17738,1.3
9311,17880,1.3
9321,17834,1.3
9331,17807,1.3
9341,17830,1.3
9351,18010,1.3
9361,17865,1.3
9371,18034,1.3
9381,18075,1.3
9391,18155,1.3
9401,18187,1.3
9411,18257,1.3
9421,18210,1.3
9431,18063,1.3
9441,17985,1.3
9451,18102,1.2
9461,18068,1.3
9471,18068,1.2
9481,18084,1.2
9491,18037,1.2
9501,17990,1.2
9511,17987,1.2
9521,17886,1.2
9531,17848,1.2
9541,17838,1.2
9551,17873,1.2
9561,17689,1.2
9571,17591,1.2
9581,17588,1.2
9591,17687,1.2
9601,17759,1.2
9611,17743,1.2
9621,17776,1.2
9631,17842,1.2
9641,17880,1.2
9651,17904,1.2
9661,17823,1.2
9671,17764,1.2
9681,17734,1.2
9691,17607,1.2
9701,17634,1.2
9711,17459,1.2
9721,17409,1.2
9731,17426,1.2
9741,17427,1.2
9751,17304,1.2
9761,17307,1.2
9771,17361,1.2
9781,17351,1.2
9791,17273,1.2
9801,17484,1.2
9811,17423,1.2
9821,17372,1.2
9831,17293,1.2
9841,17376,1.2
9851,17439,1.2
9861,17546,1.2
9871,17525,1.2
9881,17735,1.2
9891,17921,1.2
9901,17767,1.2
9911,17764,1.2
9921,17853,1.2
9931,17812,1.2
9941,17952,1.2
9951,17941,1.2
9961,17835,1.2
9971,17960,1.2
9981,17880,1.2
9991,17765,1.2
10001,17718,1.2
10011,17684,1.2
10021,17710,1.2
10031,17651,1.2
10041,17622,1.2
10051,17639,1.2
10061,17616,1.2
10071,17755,1.2
10081,17649,1.2
10091,17510,1.2
10101,17572,1.2
10111,17645,1.2
10121,17554,1.2
10131,17616,1.2
10141,17631,1.2
10151,17571,1.2
10161,17539,1.2
10171,17498,1.2
10181,17363,1.2
10191,17480,1.2
10201,17540,1.2
10211,17444,1.2
10221,17326,1.2
10231,17492,1.2
10241,17528,1.2
10251,17464,1.2
10261,17477,1.2
10271,17346,1.2
10281,17441,1.3
10291,17543,1.3
10301,17503,1.3
10311,17466,1.3
10321,17462,1.3
10331,17560,1.3
10341,17435,1.3
10351,17494,1.3
10361,17601,1.3
10371,17541,1.3
10381,17520,1.3
10391,17592,1.3
10401,17598,1.3
10411,17670,1.3
10421,17623,1.3
10431,17624,1.3
10441,17418,1.3
10451,17356,1.4
10461,17494,1.4
10471,17480,1.4
10481,17613,1.4
10491,17669,1.4
10501,17754,1.3
10511,17574,1.3
10521,17553,1.3
10531,17530,1.3
10541,17664,1.3
10551,17918,1.3
10561,17909,1.3
10571,17896,1.3
10581,17902,1.3
10591,17748,1.3
10601,17794,1.3
10611,17726,1.3
10621,17842,1.3
10631,17802,1.3
10641,17886,1.3
10651,17794,1.3
10661,17834,1.3
10671,17851,1.3
10681,17611,1.3
10691,17575,1.3
10701,17645,1.3
10711,17569,1.3
10721,17612,1.3
10731,17696,1.3
10741,17717,1.3
10751,17678,1.3
