generation,num_individuals,maxm2
1,100,0
11,111,0
21,114,0.1
31,122,0.1
41,112,0.1
51,119,0.1
61,118,0.1
71,122,0.1
81,137,0.1
91,147,0.1
101,138,0.1
111,140,0.2
121,139,0.2
131,153,0.2
141,175,0.2
151,188,0.1
161,197,0.1
171,213,0.1
181,218,0.2
191,231,0.2
201,248,0.2
211,264,0.2
221,261,0.2
231,264,0.2
241,264,0.2
251,288,0.2
261,308,0.2
271,340,0.2
281,362,0.2
291,382,0.2
301,412,0.2
311,431,0.2
321,433,0.2
331,437,0.2
341,469,0.2
351,483,0.2
361,474,0.2
371,485,0.2
381,504,0.2
391,528,0.2
401,546,0.2
411,565,0.2
421,586,0.2
431,622,0.2
441,699,0.2
451,740,0.2
461,762,0.2
471,801,0.2
481,838,0.2
491,846,0.2
501,903,0.2
511,959,0.2
521,1038,0.2
531,1068,0.2
541,1112,0.2
551,1115,0.4
561,1245,0.4
571,1274,0.4
581,1317,0.4
591,1359,0.4
601,1429,0.3
611,1442,0.3
621,1480,0.3
631,1546,0.3
641,1562,0.4
651,1652,0.4
661,1713,0.4
671,1771,0.4
681,1839,0.4
691,1900,0.4
701,1954,0.4
711,2040,0.3
721,2109,0.3
731,2167,0.3
741,2247,0.3
751,2296,0.4
761,2407,0.4
771,2535,0.4
781,2560,0.3
791,2610,0.3
801,2696,0.3
811,2791,0.3
821,2835,0.4
831,2926,0.4
841,3046,0.4
851,3260,0.4
861,3447,0.4
871,3549,0.4
881,3727,0.4
891,3822,0.4
901,3874,0.4
911,3923,0.4
921,4022,0.5
931,4144,0.5
941,4213,0.5
951,4357,0.5
961,4392,0.5
971,4429,0.5
981,4494,0.6
991,4702,0.5
1001,4758,0.5
1011,4830,0.5
1021,4980,0.5
1031,5011,0.5
1041,5121,0.5
1051,5351,0.5
1061,5474,0.6
1071,5588,0.6
1081,5740,0.6
1091,5832,0.6
1101,5853,0.6
1111,5963,0.6
1121,6059,0.6
1131,6105,0.6
1141,6164,0.6
1151,6196,0.5
1161,6308,0.5
1171,6296,0.5
1181,6429,0.5
1191,6442,0.5
1201,6551,0.5
