generation,num_individuals,value
3011,17482,5e-05
3021,17464,5e-05
3031,17379,5e-05
3041,17395,5e-05
3051,17524,5e-05
3061,17545,5e-05
3071,17561,5e-05
3081,17556,5e-05
3091,17526,5e-05
3101,17500,5e-05
3111,17519,5e-05
3121,17498,5e-05
3131,17459,5e-05
3141,17498,5e-05
3151,17423,5e-05
3161,17557,5e-05
3171,17562,5e-05
3181,17719,5e-05
3191,17689,5e-05
3201,17794,5e-05
3211,17802,5e-05
3221,17853,5e-05
3231,17850,5e-05
3241,17738,5e-05
3251,17679,5e-05
3261,17739,5e-05
3271,17640,5e-05
3281,17594,5e-05
3291,17702,5e-05
3301,17421,5e-05
3311,17405,5e-05
3321,17357,5e-05
3331,17335,5e-05
3341,17342,5e-05
3351,17200,5e-05
3361,17208,5e-05
3371,17234,5e-05
3381,17196,5e-05
3391,17299,5e-05
3401,17102,5e-05
3411,17092,5e-05
3421,17191,5e-05
3431,17216,5e-05
3441,17247,5e-05
3451,17231,5e-05
3461,17130,5e-05
3471,17069,5e-05
3481,17160,5e-05
3491,17339,5e-05
3501,17298,5e-05
3511,17411,5e-05
3521,17232,5e-05
3531,17253,5e-05
3541,17134,5e-05
3551,17148,5e-05
3561,17218,5e-05
3571,17176,5e-05
3581,17219,5e-05
3591,17133,5e-05
3601,17142,5e-05
3611,17048,5e-05
3621,17016,5e-05
3631,17117,5e-05
3641,17088,5e-05
3651,17190,5e-05
3661,17168,5e-05
3671,17169,5e-05
3681,17190,5e-05
3691,17279,5e-05
3701,17249,5e-05
3711,17375,5e-05
3721,17367,5e-05
3731,17269,5e-05
3741,17343,5e-05
3751,17324,5e-05
3761,17298,5e-05
3771,17262,5e-05
3781,17246,5e-05
3791,17293,5e-05
3801,17214,5e-05
3811,17082,5e-05
3821,16971,5e-05
3831,17043,5e-05
3841,17156,5e-05
3851,17150,5e-05
3861,17161,5e-05
3871,16954,5e-05
3881,17078,5e-05
3891,17029,5e-05
3901,17085,5e-05
3911,17150,5e-05
3921,17113,5e-05
3931,17130,5e-05
3941,17115,5e-05
3951,17174,5e-05
3961,17103,5e-05
3971,17043,5e-05
3981,17051,5e-05
3991,17183,5e-05
4001,17187,5e-05
4011,17173,5e-05
4021,17243,5e-05
4031,17139,5e-05
4041,17300,5e-05
4051,17261,5e-05
4061,17444,5e-05
4071,17411,5e-05
4081,17425,5e-05
4091,17385,5e-05
4101,17235,5e-05
4111,17327,5e-05
4121,17213,5e-05
4131,17342,5e-05
4141,17458,5e-05
4151,17486,5e-05
4161,17529,5e-05
4171,17621,5e-05
4181,17559,5e-05
4191,17485,5e-05
4201,17565,5e-05
4211,17514,5e-05
4221,17382,5e-05
4231,17427,5e-05
4241,17449,5e-05
4251,17333,5e-05
4261,17338,5e-05
4271,17235,5e-05
4281,17330,5e-05
4291,17374,5e-05
4301,17311,5e-05
4311,17363,5e-05
4321,17454,5e-05
4331,17559,5e-05
4341,17538,5e-05
4351,17674,5e-05
4361,17711,5e-05
4371,17653,5e-05
4381,17607,5e-05
4391,17363,5e-05
4401,17489,5e-05
4411,17415,5e-05
4421,17373,5e-05
4431,17361,5e-05
4441,17299,5e-05
4451,17279,5e-05
4461,17379,5e-05
4471,17352,5e-05
4481,17322,5e-05
4491,17430,5e-05
4501,17407,5e-05
4511,17475,5e-05
4521,17424,5e-05
4531,17361,5e-05
4541,17368,5e-05
4551,17296,5e-05
4561,17302,5e-05
4571,17343,5e-05
4581,17313,5e-05
4591,17361,5e-05
4601,17286,5e-05
4611,17219,5e-05
4621,17313,5e-05
4631,17175,5e-05
4641,17137,5e-05
4651,17150,5e-05
4661,17059,5e-05
4671,17122,5e-05
4681,17200,5e-05
4691,17274,5e-05
4701,17180,5e-05
4711,17189,5e-05
4721,17179,5e-05
4731,17130,5e-05
4741,17272,5e-05
4751,17325,5e-05
4761,17347,5e-05
4771,17239,5e-05
4781,17040,5e-05
4791,17125,5e-05
4801,17095,5e-05
4811,17080,5e-05
4821,17196,5e-05
4831,17413,5e-05
4841,17322,5e-05
4851,17477,5e-05
4861,17468,5e-05
4871,17486,5e-05
4881,17558,5e-05
4891,17520,5e-05
4901,17467,5e-05
4911,17356,5e-05
4921,17356,5e-05
4931,17434,5e-05
4941,17446,5e-05
4951,17443,5e-05
4961,17513,5e-05
4971,17619,5e-05
4981,17585,5e-05
4991,17603,5e-05
5001,17634,5e-05
5011,17539,5e-05
5021,17525,5e-05
5031,17475,5e-05
5041,17371,5e-05
5051,17414,5e-05
5061,17519,5e-05
5071,17613,5e-05
5081,17791,5e-05
5091,17704,5e-05
5101,17758,5e-05
5111,17792,5e-05
5121,17934,5e-05
5131,17808,5e-05
5141,17703,5e-05
5151,17640,5e-05
5161,17468,5e-05
5171,17504,5e-05
5181,17700,5e-05
5191,17821,5e-05
5201,17726,5e-05
5211,17669,5e-05
5221,17765,5e-05
5231,17614,5e-05
5241,17560,5e-05
5251,17487,5e-05
5261,17518,5e-05
5271,17589,5e-05
5281,17519,5e-05
5291,17553,5e-05
5301,17532,5e-05
5311,17414,5e-05
5321,17380,5e-05
5331,17274,5e-05
5341,17353,5e-05
5351,17441,5e-05
5361,17472,5e-05
5371,17418,5e-05
5381,17297,5e-05
5391,17318,5e-05
5401,17240,5e-05
5411,17435,5e-05
5421,17407,5e-05
5431,17430,5e-05
5441,17360,5e-05
5451,17327,5e-05
5461,17266,5e-05
5471,17307,5e-05
5481,17351,5e-05
5491,17417,5e-05
5501,17344,5e-05
5511,17375,5e-05
5521,17305,5e-05
5531,17317,5e-05
5541,17454,5e-05
5551,17392,5e-05
5561,17361,5e-05
5571,17392,5e-05
5581,17488,5e-05
5591,17485,5e-05
5601,17506,5e-05
5611,17576,5e-05
5621,17493,5e-05
5631,17460,5e-05
5641,17583,5e-05
5651,17623,5e-05
5661,17388,5e-05
5671,17367,5e-05
5681,17527,5e-05
5691,17648,5e-05
5701,17707,5e-05
5711,17687,5e-05
5721,17589,5e-05
5731,17484,5e-05
5741,17398,5e-05
5751,17334,5e-05
5761,17367,5e-05
5771,17345,5e-05
5781,17360,5e-05
5791,17357,5e-05
5801,17296,5e-05
5811,17322,5e-05
5821,17330,5e-05
5831,17335,5e-05
5841,17271,5e-05
5851,17185,5e-05
5861,17319,5e-05
5871,17238,5e-05
5881,17240,5e-05
5891,17216,5e-05
5901,17175,5e-05
5911,17272,5e-05
5921,17224,5e-05
5931,17268,5e-05
5941,17193,5e-05
5951,17236,5e-05
5961,17333,5e-05
5971,17258,5e-05
5981,17303,5e-05
5991,17287,5e-05
6001,17360,5e-05
6011,17388,5e-05
6021,17242,5e-05
6031,17344,5e-05
6041,17255,5e-05
6051,17256,5e-05
6061,17065,5e-05
6071,17042,5e-05
6081,17066,5e-05
6091,17057,5e-05
6101,17192,5e-05
6111,17266,5e-05
6121,17191,5e-05
6131,17074,5e-05
6141,17238,5e-05
6151,17217,5e-05
6161,17308,5e-05
6171,17336,5e-05
6181,17460,5e-05
6191,17458,5e-05
6201,17361,5e-05
6211,17412,5e-05
6221,17349,5e-05
6231,17534,5e-05
6241,17514,5e-05
6251,17571,5e-05
6261,17470,5e-05
6271,17570,5e-05
6281,17591,5e-05
6291,17574,5e-05
6301,17621,5e-05
6311,17594,5e-05
6321,17566,5e-05
6331,17662,5e-05
6341,17754,5e-05
6351,17694,5e-05
6361,17559,5e-05
6371,17442,5e-05
6381,17386,5e-05
6391,17242,5e-05
6401,17362,5e-05
6411,17448,5e-05
6421,17392,5e-05
6431,17414,5e-05
6441,17535,5e-05
6451,17590,5e-05
6461,17511,5e-05
6471,17473,5e-05
6481,17478,5e-05
6491,17536,5e-05
6501,17558,5e-05
6511,17561,5e-05
6521,17465,5e-05
6531,17605,5e-05
6541,17591,5e-05
6551,17644,5e-05
6561,17678,5e-05
6571,17752,5e-05
6581,17796,5e-05
6591,17778,5e-05
6601,17802,5e-05
6611,17720,5e-05
6621,17653,5e-05
6631,17591,5e-05
6641,17671,5e-05
6651,17696,5e-05
6661,17607,5e-05
6671,17631,5e-05
6681,17626,5e-05
6691,17579,5e-05
6701,17610,5e-05
6711,17689,5e-05
6721,17730,5e-05
6731,17659,5e-05
6741,17626,5e-05
6751,17501,5e-05
6761,17392,5e-05
6771,17424,5e-05
6781,17587,5e-05
6791,17602,5e-05
6801,17607,5e-05
6811,17682,5e-05
6821,17518,5e-05
6831,17581,5e-05
6841,17523,5e-05
6851,17574,5e-05
6861,17449,5e-05
6871,17434,5e-05
6881,17474,5e-05
6891,17465,5e-05
6901,17591,5e-05
6911,17520,5e-05
6921,17481,5e-05
6931,17362,5e-05
6941,17447,5e-05
6951,17609,5e-05
6961,17544,5e-05
6971,17440,5e-05
6981,17439,5e-05
6991,17221,5e-05
7001,17300,5e-05
7011,17400,5e-05
7021,17438,5e-05
7031,17438,5e-05
7041,17525,5e-05
7051,17634,5e-05
7061,17732,5e-05
7071,17765,5e-05
7081,17756,5e-05
7091,17692,5e-05
7101,17753,5e-05
7111,17747,5e-05
7121,17747,5e-05
7131,17696,5e-05
7141,17582,5e-05
7151,17538,5e-05
7161,17635,5e-05
7171,17640,5e-05
7181,17681,5e-05
7191,17745,5e-05
7201,17898,5e-05
7211,17853,5e-05
7221,17932,5e-05
7231,18021,5e-05
7241,17979,5e-05
7251,18046,5e-05
7261,18098,5e-05
7271,18066,5e-05
7281,18003,5e-05
7291,18085,5e-05
7301,18030,5e-05
7311,18064,5e-05
7321,18024,5e-05
7331,17841,5e-05
7341,17854,5e-05
7351,17727,5e-05
7361,17722,5e-05
7371,17753,5e-05
7381,17794,5e-05
7391,17788,5e-05
7401,17754,5e-05
7411,17810,5e-05
7421,17670,5e-05
7431,17519,5e-05
7441,17450,5e-05
7451,17496,5e-05
7461,17505,5e-05
7471,17512,5e-05
7481,17404,5e-05
7491,17299,5e-05
7501,17234,5e-05
7511,17217,5e-05
7521,17097,5e-05
7531,17159,5e-05
7541,17321,5e-05
7551,17526,5e-05
7561,17562,5e-05
7571,17575,5e-05
7581,17554,5e-05
7591,17636,5e-05
7601,17616,5e-05
7611,17432,5e-05
7621,17421,5e-05
7631,17347,5e-05
7641,17328,5e-05
7651,17351,5e-05
7661,17235,5e-05
7671,17178,5e-05
7681,17237,5e-05
7691,17225,5e-05
7701,17202,5e-05
7711,17323,5e-05
7721,17374,5e-05
7731,17293,5e-05
7741,17380,5e-05
7751,17635,5e-05
7761,17601,5e-05
7771,17655,5e-05
7781,17480,5e-05
7791,17453,5e-05
7801,17616,5e-05
7811,17517,5e-05
7821,17431,5e-05
7831,17286,5e-05
7841,17297,5e-05
7851,17227,5e-05
7861,17159,5e-05
7871,16998,5e-05
7881,16929,5e-05
7891,16928,5e-05
7901,16908,5e-05
7911,17117,5e-05
7921,17159,5e-05
7931,17113,5e-05
7941,17260,5e-05
7951,17324,5e-05
7961,17363,5e-05
7971,17402,5e-05
7981,17476,5e-05
7991,17420,5e-05
8001,17351,5e-05
8011,17314,5e-05
8021,17464,5e-05
8031,17636,5e-05
8041,17576,5e-05
8051,17514,5e-05
8061,17428,5e-05
8071,17577,5e-05
8081,17667,5e-05
8091,17684,5e-05
8101,17781,5e-05
8111,17606,5e-05
8121,17677,5e-05
8131,17792,5e-05
8141,17840,5e-05
8151,17767,5e-05
8161,17857,5e-05
8171,17814,5e-05
8181,17742,5e-05
8191,17775,5e-05
8201,17639,5e-05
8211,17551,5e-05
8221,17718,5e-05
8231,17624,5e-05
8241,17563,5e-05
8251,17523,5e-05
8261,17541,5e-05
8271,17644,5e-05
8281,17604,5e-05
8291,17636,5e-05
8301,17446,5e-05
8311,17423,5e-05
8321,17480,5e-05
8331,17361,5e-05
8341,17427,5e-05
8351,17463,5e-05
8361,17511,5e-05
8371,17573,5e-05
8381,17515,5e-05
8391,17571,5e-05
8401,17699,5e-05
8411,17712,5e-05
8421,17686,5e-05
8431,17694,5e-05
8441,17761,5e-05
8451,17751,5e-05
8461,17778,5e-05
8471,17695,5e-05
8481,17729,5e-05
8491,17663,5e-05
8501,17587,5e-05
8511,17553,5e-05
8521,17608,5e-05
8531,17612,5e-05
8541,17722,5e-05
8551,17612,5e-05
8561,17605,5e-05
8571,17566,5e-05
8581,17507,5e-05
8591,17545,5e-05
8601,17493,5e-05
8611,17381,5e-05
8621,17538,5e-05
8631,17463,5e-05
8641,17507,5e-05
8651,17587,5e-05
8661,17581,5e-05
8671,17611,5e-05
8681,17617,5e-05
8691,17551,5e-05
8701,17546,5e-05
8711,17578,5e-05
8721,17693,5e-05
8731,17634,5e-05
8741,17723,5e-05
8751,17768,5e-05
8761,17731,5e-05
8771,17700,5e-05
8781,17831,5e-05
8791,17688,5e-05
8801,17826,5e-05
8811,17813,5e-05
8821,17760,5e-05
8831,17689,5e-05
8841,17792,5e-05
8851,17892,5e-05
8861,17839,5e-05
8871,17651,5e-05
8881,17780,5e-05
8891,17748,5e-05
8901,17683,5e-05
8911,17621,5e-05
8921,17512,5e-05
8931,17649,5e-05
8941,17666,5e-05
8951,17702,5e-05
8961,17722,5e-05
8971,17729,5e-05
8981,17817,5e-05
8991,17759,5e-05
9001,17796,5e-05
9011,17789,5e-05
9021,17716,5e-05
9031,17641,5e-05
9041,17685,5e-05
9051,17500,5e-05
9061,17502,5e-05
9071,17594,5e-05
9081,17603,5e-05
9091,17553,5e-05
9101,17599,5e-05
9111,17510,5e-05
9121,17554,5e-05
9131,17465,5e-05
9141,17422,5e-05
9151,17425,5e-05
9161,17488,5e-05
9171,17499,5e-05
9181,17657,5e-05
9191,17616,5e-05
9201,17697,5e-05
9211,17651,5e-05
9221,17736,5e-05
9231,17770,5e-05
9241,17801,5e-05
9251,17904,5e-05
9261,17973,5e-05
9271,17917,5e-05
9281,17920,5e-05
9291,17841,5e-05
9301,17755,5e-05
9311,17675,5e-05
9321,17664,5e-05
9331,17547,5e-05
9341,17438,5e-05
9351,17345,5e-05
9361,17259,5e-05
9371,17198,5e-05
9381,17126,5e-05
9391,17103,5e-05
9401,17126,5e-05
9411,17028,5e-05
9421,17064,5e-05
9431,17144,5e-05
9441,17114,5e-05
9451,17063,5e-05
9461,17173,5e-05
9471,17165,5e-05
9481,17260,5e-05
9491,17371,5e-05
9501,17454,5e-05
9511,17520,5e-05
9521,17435,5e-05
9531,17476,5e-05
9541,17589,5e-05
9551,17614,5e-05
9561,17474,5e-05
9571,17425,5e-05
9581,17399,5e-05
9591,17419,5e-05
9601,17416,5e-05
9611,17314,5e-05
9621,17530,5e-05
9631,17477,5e-05
9641,17404,5e-05
9651,17403,5e-05
9661,17335,5e-05
9671,17390,5e-05
9681,17368,5e-05
9691,17454,5e-05
9701,17519,5e-05
9711,17471,5e-05
9721,17528,5e-05
9731,17531,5e-05
9741,17438,5e-05
9751,17302,5e-05
9761,17204,5e-05
9771,17210,5e-05
9781,17228,5e-05
9791,17350,5e-05
9801,17333,5e-05
9811,17369,5e-05
9821,17436,5e-05
9831,17459,5e-05
9841,17617,5e-05
9851,17612,5e-05
9861,17531,5e-05
9871,17630,5e-05
9881,17622,5e-05
9891,17587,5e-05
9901,17492,5e-05
9911,17575,5e-05
9921,17511,5e-05
9931,17517,5e-05
9941,17515,5e-05
9951,17493,5e-05
9961,17451,5e-05
9971,17473,5e-05
9981,17355,5e-05
9991,17162,5e-05
10001,17192,5e-05
10011,17077,5e-05
10021,17120,5e-05
10031,17237,5e-05
10041,17323,5e-05
10051,17274,5e-05
10061,17171,5e-05
10071,17158,5e-05
10081,17270,5e-05
10091,17368,5e-05
10101,17507,5e-05
10111,17527,5e-05
10121,17501,5e-05
10131,17537,5e-05
10141,17536,5e-05
10151,17557,5e-05
10161,17456,5e-05
10171,17405,5e-05
10181,17453,5e-05
10191,17562,5e-05
10201,17622,5e-05
10211,17669,5e-05
10221,17637,5e-05
10231,17659,5e-05
10241,17586,5e-05
10251,17541,5e-05
10261,17520,5e-05
10271,17416,5e-05
10281,17464,5e-05
10291,17380,5e-05
10301,17335,5e-05
10311,17336,5e-05
10321,17247,5e-05
10331,17147,5e-05
10341,17156,5e-05
10351,17198,5e-05
10361,17337,5e-05
10371,17279,5e-05
10381,17416,5e-05
10391,17490,5e-05
10401,17495,5e-05
10411,17468,5e-05
10421,17493,5e-05
10431,17604,5e-05
10441,17641,5e-05
10451,17709,5e-05
10461,17634,5e-05
10471,17705,5e-05
10481,17719,5e-05
10491,17810,5e-05
10501,17721,5e-05
10511,17614,5e-05
10521,17556,5e-05
10531,17573,5e-05
10541,17519,5e-05
10551,17542,5e-05
10561,17531,5e-05
10571,17581,5e-05
10581,17784,5e-05
10591,17817,5e-05
10601,17759,5e-05
10611,17679,5e-05
10621,17680,5e-05
10631,17602,5e-05
10641,17569,5e-05
10651,17436,5e-05
10661,17448,5e-05
10671,17471,5e-05
10681,17392,5e-05
10691,17373,5e-05
10701,17316,5e-05
10711,17350,5e-05
10721,17281,5e-05
10731,17226,5e-05
10741,17126,5e-05
10751,17205,5e-05
10761,17076,5e-05
10771,17097,5e-05
10781,17087,5e-05
10791,16920,5e-05
10801,16912,5e-05
10811,16963,5e-05
10821,16963,5e-05
10831,17023,5e-05
10841,16974,5e-05
10851,16969,5e-05
10861,16995,5e-05
10871,17070,5e-05
10881,17082,5e-05
10891,17173,5e-05
10901,17239,5e-05
10911,17308,5e-05
10921,17302,5e-05
10931,17534,5e-05
10941,17417,5e-05
10951,17506,5e-05
10961,17544,5e-05
10971,17588,5e-05
10981,17629,5e-05
10991,17713,5e-05
11001,17654,5e-05
11011,17542,5e-05
11021,17507,5e-05
11031,17625,5e-05
11041,17721,5e-05
11051,17645,5e-05
11061,17656,5e-05
11071,17624,5e-05
11081,17585,5e-05
11091,17518,5e-05
11101,17498,5e-05
11111,17448,5e-05
11121,17526,5e-05
11131,17560,5e-05
11141,17490,5e-05
11151,17386,5e-05
11161,17459,5e-05
11171,17635,5e-05
11181,17615,5e-05
11191,17527,5e-05
11201,17441,5e-05
11211,17425,5e-05
11221,17364,5e-05
11231,17457,5e-05
11241,17395,5e-05
11251,17358,5e-05
11261,17316,5e-05
11271,17440,5e-05
11281,17423,5e-05
11291,17375,5e-05
11301,17472,5e-05
11311,17450,5e-05
11321,17508,5e-05
11331,17535,5e-05
11341,17693,5e-05
11351,17840,5e-05
11361,17768,5e-05
11371,17732,5e-05
11381,17702,5e-05
11391,17642,5e-05
11401,17545,5e-05
11411,17358,5e-05
11421,17316,5e-05
11431,17198,5e-05
11441,17313,5e-05
11451,17214,5e-05
11461,17344,5e-05
11471,17523,5e-05
11481,17485,5e-05
11491,17521,5e-05
11501,17563,5e-05
11511,17474,5e-05
11521,17468,5e-05
11531,17361,5e-05
11541,17264,5e-05
11551,17150,5e-05
11561,17050,5e-05
11571,17042,5e-05
11581,17100,5e-05
11591,17087,5e-05
11601,17076,5e-05
11611,17173,5e-05
11621,17191,5e-05
11631,17309,5e-05
11641,17404,5e-05
11651,17389,5e-05
11661,17493,5e-05
11671,17652,5e-05
11681,17687,5e-05
11691,17720,5e-05
11701,17777,5e-05
11711,17789,5e-05
11721,17818,5e-05
11731,17801,5e-05
11741,17826,5e-05
11751,17745,5e-05
11761,17704,5e-05
11771,17773,5e-05
11781,17680,5e-05
11791,17572,5e-05
11801,17458,5e-05
11811,17497,5e-05
11821,17603,5e-05
11831,17470,5e-05
11841,17482,5e-05
11851,17555,5e-05
11861,17513,5e-05
11871,17578,5e-05
11881,17627,5e-05
11891,17521,5e-05
11901,17416,5e-05
11911,17327,5e-05
11921,17363,5e-05
11931,17392,5e-05
11941,17471,5e-05
11951,17580,5e-05
11961,17654,5e-05
11971,17569,5e-05
11981,17530,5e-05
11991,17567,5e-05
12001,17527,5e-05
12011,17521,5e-05
12021,17562,5e-05
12031,17475,5e-05
12041,17356,5e-05
12051,17353,5e-05
12061,17381,5e-05
12071,17439,5e-05
12081,17230,5e-05
12091,17176,5e-05
12101,17272,5e-05
12111,17303,5e-05
12121,17228,5e-05
12131,17294,5e-05
12141,17206,5e-05
12151,17164,5e-05
12161,17318,5e-05
12171,17124,5e-05
12181,17141,5e-05
12191,17178,5e-05
12201,17228,5e-05
12211,17213,5e-05
12221,17165,5e-05
12231,17185,5e-05
12241,17194,5e-05
12251,17303,5e-05
12261,17326,5e-05
12271,17255,5e-05
12281,17270,5e-05
12291,17276,5e-05
12301,17215,5e-05
12311,17166,5e-05
12321,17122,5e-05
12331,17026,5e-05
12341,17105,5e-05
12351,17088,5e-05
12361,17075,5e-05
12371,17064,5e-05
12381,17147,5e-05
12391,17133,5e-05
12401,17105,5e-05
12411,17157,5e-05
12421,17113,5e-05
12431,17093,5e-05
12441,17164,5e-05
12451,17056,5e-05
12461,17066,5e-05
12471,17153,5e-05
12481,17280,5e-05
12491,17291,5e-05
12501,17205,5e-05
12511,17192,5e-05
12521,17355,5e-05
12531,17376,5e-05
12541,17230,5e-05
12551,17264,5e-05
12561,17382,5e-05
12571,17420,5e-05
12581,17349,5e-05
12591,17351,5e-05
12601,17439,5e-05
12611,17385,5e-05
12621,17296,5e-05
12631,17426,5e-05
12641,17529,5e-05
12651,17516,5e-05
12661,17422,5e-05
12671,17487,5e-05
12681,17475,5e-05
12691,17444,5e-05
12701,17319,5e-05
12711,17218,5e-05
12721,17319,5e-05
12731,17407,5e-05
12741,17491,5e-05
12751,17537,5e-05
12761,17402,5e-05
12771,17317,5e-05
12781,17421,5e-05
12791,17384,5e-05
12801,17433,5e-05
12811,17468,5e-05
