generation,num_individuals,maxm2
1,100,0
11,123,0
21,149,0.1
31,165,0.1
41,170,0.1
51,193,0.1
61,219,0.1
71,261,0.1
81,283,0.1
91,306,0.1
101,324,0.1
111,357,0.1
121,378,0.2
131,426,0.2
141,487,0.2
151,541,0.2
161,602,0.2
171,643,0.2
181,665,0.2
191,720,0.2
201,807,0.2
211,851,0.2
221,926,0.2
231,1027,0.2
241,1151,0.2
251,1245,0.2
261,1349,0.2
271,1488,0.2
281,1615,0.2
291,1753,0.2
301,1902,0.2
311,2046,0.3
321,2240,0.3
331,2417,0.3
341,2659,0.3
351,2837,0.4
361,2990,0.4
371,3123,0.4
381,3354,0.4
391,3568,0.4
401,3831,0.4
411,4092,0.4
421,4415,0.4
431,4740,0.4
441,5147,0.5
451,5465,0.5
461,5853,0.5
471,6108,0.5
481,6510,0.5
491,6827,0.5
501,7247,0.5
511,7722,0.5
521,8066,0.5
531,8412,0.5
541,8889,0.5
551,9211,0.5
561,9625,0.5
571,10123,0.5
581,10605,0.5
591,11059,0.5
601,11406,0.5
611,11780,0.5
621,12228,0.5
631,12704,0.5
641,13110,0.5
651,13537,0.5
661,13823,0.5
671,14236,0.5
681,14520,0.5
691,14818,0.5
701,15010,0.5
711,15292,0.5
721,15613,0.5
731,16034,0.5
741,16494,0.5
751,16627,0.5
761,16873,0.5
771,17066,0.5
781,17173,0.5
791,17427,0.6
801,17681,0.5
811,17860,0.6
821,18080,0.6
831,18186,0.5
841,18342,0.5
851,18435,0.5
861,18612,0.5
871,18844,0.5
881,18957,0.5
891,19023,0.5
901,19051,0.5
911,19118,0.5
921,19049,0.5
931,19162,0.5
941,19120,0.5
951,19185,0.5
961,19262,0.6
971,19312,0.6
981,19399,0.6
991,19517,0.6
1001,19435,0.6
1011,19424,0.6
1021,19641,0.5
1031,19693,0.5
1041,19705,0.5
1051,19574,0.5
1061,19506,0.5
1071,19551,0.5
1081,19581,0.5
1091,19517,0.5
1101,19439,0.5
1111,19529,0.5
1121,19599,0.5
1131,19544,0.5
1141,19711,0.5
1151,19676,0.5
1161,19575,0.5
1171,19734,0.5
1181,19770,0.5
1191,19847,0.5
1201,19835,0.5
1211,19679,0.5
1221,19625,0.6
1231,19557,0.6
1241,19718,0.6
1251,19724,0.6
1261,19828,0.6
1271,19869,0.6
1281,19857,0.6
1291,19875,0.6
1301,19816,0.6
1311,19908,0.6
1321,19926,0.6
1331,19930,0.6
1341,19857,0.6
1351,19707,0.7
1361,19865,0.7
1371,19743,0.6
1381,19755,0.6
1391,19689,0.6
1401,19676,0.6
1411,19771,0.6
1421,19809,0.6
1431,19879,0.6
1441,19859,0.6
1451,19915,0.6
1461,19975,0.6
1471,19890,0.6
1481,19822,0.6
1491,20011,0.6
1501,19893,0.6
1511,19913,0.6
1521,19717,0.6
1531,19732,0.6
1541,19740,0.7
1551,19783,0.7
1561,19922,0.7
1571,19816,0.6
1581,19897,0.6
1591,19850,0.6
1601,19902,0.6
1611,19915,0.6
1621,19872,0.6
1631,19947,0.6
1641,19861,0.6
1651,19759,0.6
1661,19787,0.6
1671,19737,0.6
1681,19823,0.6
1691,19810,0.6
1701,19566,0.6
1711,19593,0.6
1721,19574,0.6
1731,19525,0.6
1741,19567,0.6
1751,19616,0.7
1761,19729,0.7
1771,19732,0.7
1781,19730,0.7
1791,19636,0.7
1801,19694,0.7
1811,19671,0.7
1821,19791,0.7
1831,19848,0.7
1841,19937,0.7
1851,19904,0.7
1861,19828,0.7
1871,19788,0.7
1881,19772,0.7
1891,19800,0.6
1901,19885,0.6
1911,19964,0.7
1921,20031,0.7
1931,20143,0.7
1941,20021,0.7
1951,20038,0.7
1961,19994,0.7
1971,20002,0.7
1981,20016,0.7
1991,20119,0.7
2001,20159,0.7
2011,20274,0.7
2021,20227,0.7
2031,20078,0.7
2041,19969,0.7
2051,19928,0.7
2061,19965,0.7
2071,20027,0.7
