generation,num_individuals,maxm2
1,100,0
11,122,0
21,142,0.1
31,162,0.1
41,175,0.1
51,192,0.1
61,204,0.1
71,235,0.1
81,260,0.1
91,310,0.1
101,348,0.2
111,392,0.1
121,432,0.1
131,457,0.2
141,510,0.2
151,572,0.2
161,624,0.2
171,670,0.2
181,725,0.2
191,774,0.2
201,875,0.2
211,944,0.2
221,1041,0.2
231,1104,0.2
241,1171,0.2
251,1273,0.2
261,1411,0.3
271,1514,0.2
281,1632,0.3
291,1805,0.3
301,1870,0.3
311,1972,0.3
321,2182,0.3
331,2320,0.3
341,2487,0.3
351,2656,0.3
361,2883,0.3
371,3044,0.3
381,3172,0.3
391,3324,0.3
401,3519,0.3
411,3762,0.3
421,4002,0.3
431,4255,0.4
441,4421,0.4
451,4712,0.4
461,4963,0.4
471,5175,0.4
481,5530,0.4
491,5828,0.4
501,6130,0.4
511,6420,0.4
521,6740,0.4
531,7103,0.3
541,7443,0.3
551,7789,0.3
561,8107,0.3
571,8450,0.4
581,8878,0.4
591,9208,0.4
601,9480,0.4
611,9762,0.4
621,10190,0.4
631,10443,0.4
641,10823,0.4
651,11130,0.4
661,11521,0.4
671,11977,0.4
681,12260,0.4
691,12581,0.4
701,12957,0.4
711,13214,0.4
721,13273,0.4
731,13470,0.4
741,13570,0.6
751,13809,0.6
761,13842,0.6
771,13967,0.6
781,14191,0.4
791,14439,0.4
801,14669,0.4
811,14741,0.5
821,14852,0.4
831,14994,0.4
841,15077,0.4
851,15208,0.4
861,15332,0.5
871,15548,0.5
881,15653,0.5
891,15614,0.5
901,15819,0.5
911,16047,0.5
921,16026,0.5
931,16117,0.5
941,16208,0.5
951,16269,0.5
961,16447,0.5
971,16532,0.5
981,16499,0.5
991,16567,0.5
1001,16799,0.5
1011,16981,0.5
1021,16953,0.5
1031,16962,0.5
1041,17082,0.5
1051,17170,0.5
1061,17150,0.5
1071,17086,0.5
1081,17144,0.5
1091,17126,0.5
1101,17207,0.5
1111,17339,0.5
1121,17481,0.5
1131,17596,0.5
1141,17662,0.5
1151,17734,0.5
1161,17697,0.5
1171,17680,0.5
1181,17676,0.5
1191,17613,0.5
1201,17805,0.5
1211,17756,0.5
1221,17755,0.5
1231,17809,0.5
1241,17598,0.5
1251,17489,0.5
1261,17698,0.5
1271,17664,0.5
1281,17691,0.5
1291,17517,0.5
1301,17518,0.5
1311,17509,0.5
1321,17480,0.5
1331,17457,0.5
1341,17545,0.5
1351,17563,0.5
1361,17602,0.5
1371,17608,0.5
1381,17507,0.5
1391,17480,0.5
1401,17519,0.5
1411,17438,0.5
1421,17506,0.5
1431,17518,0.5
1441,17540,0.5
1451,17613,0.5
1461,17647,0.5
1471,17680,0.6
1481,17762,0.6
1491,17708,0.6
1501,17806,0.6
1511,17803,0.6
1521,17693,0.5
1531,17655,0.5
1541,17731,0.5
1551,17790,0.5
1561,17630,0.5
1571,17620,0.5
1581,17570,0.6
1591,17494,0.5
1601,17725,0.5
1611,17618,0.5
1621,17746,0.5
1631,17887,0.5
1641,17800,0.5
1651,17824,0.6
1661,17905,0.6
1671,17892,0.6
1681,17831,0.6
1691,17893,0.6
1701,17874,0.6
1711,17946,0.6
1721,18015,0.6
1731,18054,0.5
1741,18014,0.5
1751,17979,0.5
1761,17756,0.5
1771,17622,0.5
1781,17601,0.5
1791,17534,0.6
1801,17462,0.6
1811,17580,0.6
1821,17505,0.6
1831,17475,0.6
