generation,num_individuals,maxm2
1,100,0
11,109,0.1
21,110,0.1
31,117,0.2
41,122,0.2
51,128,0.1
61,137,0.1
71,152,0.1
81,157,0.1
91,162,0.1
101,172,0.1
111,181,0.1
121,175,0.1
131,197,0.1
141,197,0.1
151,205,0.1
161,216,0.1
171,232,0.1
181,255,0.2
191,275,0.1
201,276,0.1
211,275,0.2
221,303,0.2
231,304,0.2
241,299,0.2
251,315,0.2
261,340,0.2
271,358,0.2
281,381,0.2
291,391,0.2
301,409,0.2
311,418,0.2
321,426,0.2
331,433,0.2
341,450,0.2
351,444,0.2
361,464,0.2
371,494,0.2
381,499,0.2
391,529,0.2
401,546,0.2
411,570,0.2
421,598,0.2
431,633,0.2
441,652,0.2
451,689,0.2
461,706,0.3
471,716,0.3
481,748,0.3
491,783,0.3
501,827,0.3
511,858,0.3
521,897,0.3
531,926,0.4
541,955,0.4
551,973,0.4
561,1034,0.4
571,1080,0.4
581,1141,0.4
591,1175,0.4
601,1199,0.4
611,1229,0.4
621,1265,0.4
631,1326,0.4
641,1385,0.4
651,1474,0.4
661,1533,0.4
671,1588,0.4
681,1655,0.4
691,1675,0.4
701,1716,0.4
711,1799,0.4
721,1858,0.4
731,1946,0.4
741,1976,0.4
751,1973,0.4
761,2023,0.4
771,2071,0.4
781,2138,0.4
791,2197,0.4
801,2269,0.4
811,2359,0.5
821,2468,0.5
831,2482,0.5
841,2568,0.5
851,2607,0.5
861,2731,0.5
871,2831,0.5
881,2872,0.5
891,2945,0.5
901,3005,0.5
911,3150,0.5
921,3238,0.5
931,3365,0.5
941,3476,0.5
951,3595,0.5
961,3740,0.5
971,3952,0.5
981,4040,0.5
991,4176,0.5
1001,4292,0.5
1011,4336,0.5
1021,4387,0.5
1031,4424,0.5
1041,4490,0.4
1051,4627,0.4
1061,4697,0.4
1071,4753,0.4
1081,4855,0.4
1091,4904,0.4
1101,5024,0.4
1111,5032,0.4
1121,5146,0.4
1131,5242,0.4
1141,5253,0.4
1151,5334,0.4
1161,5513,0.4
1171,5593,0.4
1181,5640,0.4
1191,5661,0.4
1201,5780,0.4
1211,5926,0.4
1221,6053,0.4
1231,6190,0.4
1241,6334,0.4
1251,6445,0.4
1261,6459,0.4
1271,6510,0.4
1281,6668,0.4
1291,6664,0.4
1301,6627,0.4
1311,6754,0.4
1321,6942,0.4
1331,7039,0.4
1341,7112,0.4
1351,7200,0.4
1361,7266,0.4
1371,7411,0.4
1381,7469,0.4
1391,7572,0.4
1401,7614,0.4
1411,7737,0.4
1421,7896,0.4
1431,7968,0.4
1441,8116,0.4
1451,8186,0.5
1461,8328,0.5
1471,8319,0.5
1481,8359,0.4
1491,8389,0.4
1501,8374,0.4
1511,8417,0.4
1521,8535,0.4
1531,8531,0.4
1541,8558,0.4
1551,8679,0.4
1561,8689,0.4
1571,8742,0.4
1581,8781,0.4
1591,8692,0.4
1601,8727,0.4
1611,8681,0.4
1621,8648,0.4
1631,8687,0.4
1641,8664,0.4
1651,8729,0.4
1661,8738,0.4
1671,8752,0.4
1681,8852,0.5
1691,8898,0.5
1701,9050,0.5
1711,9023,0.5
1721,9057,0.5
1731,9186,0.5
1741,9120,0.5
1751,9204,0.5
1761,9255,0.5
1771,9309,0.5
1781,9274,0.5
1791,9300,0.5
1801,9246,0.5
1811,9315,0.5
1821,9355,0.5
1831,9310,0.5
1841,9305,0.5
1851,9235,0.5
1861,9307,0.5
1871,9141,0.5
1881,9024,0.6
1891,8967,0.6
1901,8945,0.6
1911,9086,0.6
1921,9094,0.6
1931,9124,0.6
1941,9120,0.6
1951,9093,0.6
1961,9181,0.6
1971,9234,0.6
1981,9248,0.6
1991,9328,0.6
2001,9200,0.6
2011,9238,0.6
2021,9187,0.6
2031,9209,0.6
2041,9251,0.6
2051,9217,0.6
2061,9121,0.6
2071,8991,0.6
2081,9017,0.6
2091,8968,0.6
2101,8992,0.6
2111,9057,0.6
2121,9052,0.6
2131,9117,0.6
2141,9070,0.6
2151,9112,0.5
2161,9052,0.5
2171,9034,0.6
2181,8979,0.6
2191,9074,0.6
2201,9050,0.6
2211,9051,0.6
2221,9068,0.6
2231,9080,0.6
2241,8995,0.7
2251,9082,0.7
2261,9090,0.7
2271,9111,0.6
2281,9127,0.6
2291,9065,0.6
2301,9048,0.6
2311,9060,0.6
2321,9003,0.5
2331,9056,0.6
2341,9137,0.6
2351,9175,0.6
2361,9140,0.6
2371,9077,0.6
2381,9068,0.6
2391,9049,0.6
2401,9091,0.6
2411,9055,0.6
2421,9044,0.6
2431,9003,0.6
2441,8963,0.6
2451,8887,0.6
2461,8667,0.6
2471,8726,0.6
2481,8783,0.6
2491,8830,0.6
2501,8932,0.6
2511,9005,0.5
2521,9015,0.5
2531,8942,0.6
2541,8886,0.6
2551,8867,0.6
2561,8742,0.6
2571,8699,0.6
2581,8659,0.6
2591,8653,0.6
2601,8617,0.6
2611,8580,0.5
2621,8625,0.5
2631,8746,0.5
2641,8790,0.5
2651,8863,0.5
2661,8836,0.5
2671,8849,0.5
